z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,nuclide
56,68,Ba,4.8185,0.0052,,,,0.0,,,0+,11.0,,5,m,660.0,30.0,EC+B+,100.0,,,,,,,,,,,,,-8831.1685,58.0305,-18510.0,196.0,657.7328,17.1999,2651.274,15.489,11506.1405,17.4017,5335.1002,17.4017,8355.8209,0.1008,123915093.627,13.416,-79089.786,12.497,N,1967.0,1-Apr-2008,J. KATAKURA and  Z.D. WU,2023-10-18,124ba
56,69,Ba,4.8177,0.0052,,,,0.0,,,1/2(+),3.3,,3,m,198.0,18.0,EC+B+,100.0,,,,,,,,,0.177,0.012,,,-5909.4836,27.6308,-17481.6769,57.7251,387.1047,15.0247,4420.766,13.441,8650.5084,16.6437,5216.8866,14.3028,8358.1784,0.0879,124914471.84,11.8,-79668.976,10.992,N,1968.0,1-Jan-2010,J. KATAKURA,2023-10-18,125ba
56,70,Ba,4.8221,0.005,,,,0.0,,,0+,100,,2,m,6000.0,120.0,EC+B+,100.0,,,,,,,,,,,,,-7696.4376,91.3663,-16981.7389,28.845,260.159,16.7224,1680.77,16.23,11072.2554,16.6437,5869.1421,14.6978,8379.7187,0.0992,125911250.202,13.416,-82669.913,12.497,N,1954.0,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2023-10-18,126ba
56,71,Ba,4.8204,0.0051,,,,0.0,,,1/2+,12.7,,4,m,762.0,24.0,EC+B+,100.0,,,,,,,,,0.0834,0.001,1.71,0.14,-4921.8386,27.7403,-15915.7974,91.2174,5.3868,14.8281,3422.072,12.653,8219.3598,16.8867,5756.2431,15.3714,8378.456,0.0894,126911091.272,12.192,-82817.955,11.357,N,1952.0,1-Oct-2009,A. HASHIZUME,2023-10-18,127ba
56,72,Ba,4.8255,0.0048,,,,0.0,,,0+,2.43,,5,d,209952.0,4320.0,EC,100.0,,,,,,,,,,,,,-6743.7167,54.4716,-15544.3572,26.0499,-126.6665,2.1064,562.617,5.612,10622.5186,11.4705,6418.0997,5.8053,8395.9878,0.0126,127908352.446,1.728,-85369.156,1.61,N,1950.0,28-Feb-2015,ZOLTAN ELEKES AND JANOS TIMAR,2023-10-18,128ba
56,73,Ba,4.8248,0.0049,,,,0.0,,,1/2+,2.23,,11,h,8028.0,396.0,EC+B+,100.0,,,,,,,,,-0.398,0.016,,,-3737.3247,21.628,-14506.7449,55.4517,-286.4209,10.5985,2438.184,11.448,7763.0282,10.6189,6418.0641,11.7996,8391.0811,0.0814,128908683.409,11.276,-85060.866,10.504,N,1950.0,31-May-2014,JANOS TIMAR AND ZOLTAN ELEKES and  BALRAJ SINGH,2023-10-18,129ba
56,74,Ba,4.8283,0.0047,0.11,0.01,,0.0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-5629.4021,25.9477,-14004.5534,21.3445,-535.3054,0.2872,-357.022,8.362,10267.2287,10.5037,7046.6974,4.5615,8405.513,0.0022,129906326.002,0.308,-87256.776,0.287,N,1936.0,11-May-2001,BALRAJ SINGH,2023-10-18,130ba
56,75,Ba,4.8276,0.0048,,,,0.0,,,1/2+,11.50,,6,d,993600.0,5184.0,EC+B+,100.0,,,,,,,,,0.7083,0.0002,,,-2909.6936,27.9479,-13122.9021,25.9494,-782.991,4.1092,1376.616,0.451,7493.5,0.3,7068.1748,8.367,8398.5511,0.0032,130906946.315,0.445,-86678.958,0.415,N,1947.0,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2023-10-18,131ba
56,76,Ba,4.8303,0.0047,0.1,0.01,,0.0,,,0+,3.0E+21,GT,,Y,9.4670777923776e+28,,2B+,,,,,,,,,,-1.59,0.05,,,-4711.3256,36.3537,-12736.9565,27.9647,-999.2847,1.0533,-1282.21,1.47,9827.2629,1.1304,7668.3001,1.068,8409.3747,0.008,131905061.231,1.13,-88434.903,1.053,N,1936.0,10-Feb-2005,YU. KHAZOV and  A.A. RODIONOV AND S. SAKHAROV and  BALRAJ SINGH,2023-10-18,132ba
56,77,Ba,4.8286,0.0047,,,,0.0,,,1/2+,10.551,,11,Y,332957125.9579202,347126.185720512,EC,100.0,,,,,,,,,0.7719,0.0002,0.92,0.06,-2059.1203,27.9624,-11901.2525,36.3543,-1282.3581,0.992,517.431,0.992,7189.927,0.3596,7689.7899,1.4343,8400.2059,0.0075,132906007.443,1.065,-87553.512,0.992,N,1941.0,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2023-10-18,133ba
